date,price,il,regime
2024-09-24,2654.35498046875,-2.6396367964753864e-06,Low
2024-09-25,2579.388671875,-7.23195185001746e-05,Low
2024-09-26,2632.199951171875,-1.7920635910773086e-06,Low
2024-09-27,2695.900634765625,-5.0629822567205274e-05,Low
2024-09-28,2677.5390625,-2.2083492181024234e-05,Low
2024-09-29,2659.346923828125,-5.239440934667883e-06,Low
2024-09-30,2603.062744140625,-2.7816243693412623e-05,Low
2024-10-01,2448.921142578125,-0.0007207835086504577,Low
2024-10-02,2365.231689453125,-0.0015306964385479738,Low
2024-10-03,2349.791259765625,-0.0017168602329629135,Low
2024-10-04,2414.7939453125,-0.0010114752595166143,Low
2024-10-05,2415.6318359375,-0.0010036982951778795,Low
2024-10-06,2439.957763671875,-0.0007920066735083164,Low
2024-10-07,2421.796630859375,-0.0009474799664048739,Low
2024-10-08,2439.8408203125,-0.0007929598061057197,Low
2024-10-09,2368.283447265625,-0.0014952990547055789,Low
2024-10-10,2383.85791015625,-0.0013217386675219434,Low
2024-10-11,2436.513427734375,-0.0008203384871096064,Low
2024-10-12,2476.523193359375,-0.0005238528980212598,Low
2024-10-13,2467.677001953125,-0.0005833248458114726,Low
2024-10-14,2628.89990234375,-3.1762883099251127e-06,Low
2024-10-15,2606.02197265625,-2.3740509347502936e-05,Low
2024-10-16,2611.10205078125,-1.750509163245262e-05,Low
2024-10-17,2604.2734375,-2.610919333501105e-05,Low
2024-10-18,2641.55224609375,-7.1774911569733035e-09,Low
2024-10-19,2648.656982421875,-7.480912290747099e-07,Low
2024-10-20,2746.364013671875,-0.00018690668179299763,Low
2024-10-21,2665.712158203125,-9.82324232290388e-06,Low
2024-10-22,2620.197509765625,-8.729116761418965e-06,Low
2024-10-23,2509.098876953125,-0.00033379436275038366,Low
2024-10-24,2534.49853515625,-0.00021639060159828194,Low
2024-10-25,2435.93408203125,-0.0008251567630240819,Low
2024-10-26,2479.603271484375,-0.0005039427996464951,Low
2024-10-27,2505.940673828125,-0.0003502567532049916,Low
2024-10-28,2565.34814453125,-0.00010886094405415658,Low
2024-10-29,2637.95751953125,-3.205561786012723e-07,Low
2024-10-30,2657.37255859375,-4.106295873995691e-06,Low
2024-10-31,2515.79931640625,-0.000300243051115312,Low
2024-11-01,2511.885498046875,-0.00031961428562410354,Low
2024-11-02,2491.068603515625,-0.0004334146175944964,Low
2024-11-03,2456.42529296875,-0.000663918787615736,Low
2024-11-04,2397.0263671875,-0.0011841247585965275,Low
2024-11-05,2422.650634765625,-0.000939830627033178,Low
2024-11-06,2724.169189453125,-0.00011670612212766329,Medium
2024-11-07,2895.58544921875,-0.0010474692820299225,Medium
2024-11-08,2962.296630859375,-0.0016325097493244956,Medium
2024-11-09,3131.14453125,-0.0035928860737987067,Medium
2024-11-10,3191.331298828125,-0.004440686618291223,Medium
2024-11-11,3374.81298828125,-0.0074403874773893985,Medium
2024-11-12,3246.25732421875,-0.005275865364094301,Medium
