sigma,alpha,expected_il
0.4105263157894737,0.32,-0.002290474152774491
0.4105263157894737,0.33999999999999997,-0.005042166324931715
0.4105263157894737,0.36,-0.005135346024802008
0.4105263157894737,0.38,-0.008332999635097095
0.4105263157894737,0.4,-0.006215197702257818
0.4105263157894737,0.42000000000000004,-0.009843697841042559
0.4105263157894737,0.44000000000000006,-0.010679817294568622
0.4105263157894737,0.45999999999999996,-0.012714985312019976
0.4105263157894737,0.48,-0.013025560886915857
0.4105263157894737,0.5,-0.01613450568423383
0.4105263157894737,0.52,-0.015174203065194613
0.4105263157894737,0.54,-0.01717928295429419
0.4105263157894737,0.56,-0.018175636537526314
0.4105263157894737,0.58,-0.020703398469357644
0.4105263157894737,0.6,-0.020216341429225508
0.4105263157894737,0.62,-0.024068044203928152
0.4105263157894737,0.64,-0.021802370852569367
0.4105263157894737,0.66,-0.019364859121374308
0.4105263157894737,0.6799999999999999,-0.022358529844953116
0.4105263157894737,0.7,-0.027674633530117555
0.4105263157894737,0.72,-0.023031071123435158
0.4105263157894737,0.74,-0.0270450090484205
0.4105263157894737,0.76,-0.02359529020553856
0.4105263157894737,0.78,-0.02181661350834451
0.4105263157894737,0.8,-0.023290471476882863
0.4105263157894737,0.82,-0.02529231943837641
0.4105263157894737,0.84,-0.030569770478666557
0.4105263157894737,0.86,-0.034746477134705474
0.4105263157894737,0.88,-0.03025348749441686
0.4105263157894737,0.9,-0.02701789371655309
0.45263157894736844,0.1,0.02070770824626756
0.45263157894736844,0.12000000000000001,0.017453115303777317
0.45263157894736844,0.14,0.013459267416734332
0.45263157894736844,0.16,0.010871026938218271
0.45263157894736844,0.18,0.008763129203192575
0.45263157894736844,0.2,0.00805517330346183
0.45263157894736844,0.22,0.011860643514923979
0.45263157894736844,0.24000000000000002,0.008178956826415168
0.45263157894736844,0.26,0.005447886703030512
0.45263157894736844,0.28,-0.0007637294020183276
0.45263157894736844,0.30000000000000004,-0.0007016278485694461
0.45263157894736844,0.32,-0.0042236304150722135
0.45263157894736844,0.33999999999999997,-0.006234407452295025
0.45263157894736844,0.36,-0.005092402157748165
0.45263157894736844,0.38,-0.008440905390536912
0.45263157894736844,0.4,-0.011217330074391392
0.45263157894736844,0.42000000000000004,-0.013442410976480523
0.45263157894736844,0.44000000000000006,-0.01353173355637874
0.45263157894736844,0.45999999999999996,-0.01456208155319083
0.45263157894736844,0.48,-0.016826936792110503
0.45263157894736844,0.5,-0.01831445547560784
0.45263157894736844,0.52,-0.019512278624567666
0.45263157894736844,0.54,-0.020621590613636435
0.45263157894736844,0.56,-0.022046145761102576
0.45263157894736844,0.58,-0.02423816356304336
0.45263157894736844,0.6,-0.023818901015720248
0.45263157894736844,0.62,-0.027310945828821837
0.45263157894736844,0.64,-0.026500240186047148
0.45263157894736844,0.66,-0.028085292973197166
0.45263157894736844,0.6799999999999999,-0.030769560934457145
0.45263157894736844,0.7,-0.032829994834837645
0.45263157894736844,0.72,-0.02845843306023234
0.45263157894736844,0.74,-0.031541964872431515
0.45263157894736844,0.76,-0.030525546200591416
0.45263157894736844,0.78,-0.031599456742103425
0.45263157894736844,0.8,-0.03740136967124571
0.45263157894736844,0.82,-0.03586413480621546
0.45263157894736844,0.84,-0.026255202914433385
0.45263157894736844,0.86,-0.04084078209531998
0.45263157894736844,0.88,-0.039976324078448935
0.45263157894736844,0.9,-0.03870012695589819
0.49473684210526314,0.1,0.023447993102957598
0.49473684210526314,0.12000000000000001,0.029828160003746457
